,cpdr_respondent_nation_economy,cpdr_respondent_nation,cpdr_complainant_nation_economy,cpdr_means_of_resolution,cpdr_case_status,cpdr_respondent_type,cpdr_complainant_type,cpdr_complainant_nation,cpdr_provenience_nation,cpdr_object_material,cpdr_object_type
Lysippan Zeus Statue,Developed,United States,Developed,,Object(s) relinquished,Private: Company,Public: Government,Italy,Italy,metal,Statue
2017 Artemis Marble Statue Torso,Developed,United States,Developed,,,Public: Government,Public: Government,Italy,,stone,Statue
Sacred Textiles of Coroma -- U.S.,Developed,United States,In Transition,Litigation,Some objects relinquished,Private: Individual,Public: Government,Bolivia,Bolivia,wool,Textile
"5,361 Italian Ceramics, Statues and Frescoes",Developed,Switzerland,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,stone,Statue
2011 Ancient Greek Coins,Developed,Greece,Developed,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Germany,,metal,Coin
Italian Seventeenth Century Books,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,vellum,Book
Italian Cannon,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,,Public: Government,Italy,Italy,metal,Firearm
2004 Ethiopian Manuscripts,Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Ethiopia,Ethiopia,paper,Manuscript
Benin Statue of Ibis Bird and Monarch's Bell,Developed,United Kingdom,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Nigeria,Benin,metal,Statue
Angkor Wat Architectual Features,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Cambodia,Cambodia,stone,Sculpture
11 Iraqi Cylinder Seals,Developed,Saudi Arabia,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,stone,Cylinder Seal
Nazlet Khater Axe,Developed,Belgium,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Egypt,Egypt,stone,Weapon
"Urartu Persian, Sumerian, and Assyrian Antiquities",In Transition,Hungary,In Transition,Sua sponte donation,,Public: Government,Public: Government,Armenia,Armenia,metal,Food/Drink Container
Neo-Assyrian Gold Earrings,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,metal,Jewelry
671 Iraqi Antiquities,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,metal,Weapon
2003 Sumerian Cone Figurines,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,metal,Figurine
2001 Sumerian Peg Figurine,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,Iraq,Syria,metal,Figurine
Koh Ker Statue of Hanuman,Developed,United States,Developing,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,Statue
Karnak Temple Luxor Egyptian Pillar Fragment,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,stone,Sculpture
2003 Behbeit el-Hagar Temple Reliefs,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,stone,Sculpture
Beijing Summer Palace Bronze Rabbit and Rat Heads,Developed,France,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,China,China,metal,Timepiece
1983 Coroma Textiles,Developed,Canada,In Transition,Litigation,Some objects relinquished,Private: Individual,Public: Government,Bolivia,Bolivia,wool,Textile
Aubin Tonalamatl Codex,In Transition,Mexico,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,France,Mexico,paper,Book
Portraits of Hans Tucher and Felicitas Tucher,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Germany,Germany,paint,Painting
"3,800 Iraqi Ancient Artifacts",Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,terracotta,Seal
"Egyptian Stele, Dedicated to Pa-di-Sena of Temple of Hathor",Developed,United States,In Transition,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Egypt,Egypt,stone,Stele
Egyptian Gilded Coffin of Nedjemankh,Developed,United States,In Transition,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Egypt,Egypt,wood,Funerary Object
Old Sumer Palace Beijing Tiger Ying Bronze Vessel,Developed,United Kingdom,In Transition,,Object(s) not relinquished,Private: Institution,Public: Government,China,China,metal,Food/Drink Container
Ceramic vessels and a Marble Sculpture,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Statue
"4,000-year-old Mesopotamian cylinder seals",Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,marble,Cylinder Seal
Iraqi Stone Frieze,Developed,United Kingdom,In Transition,Action by Respondent's Govt.,Object(s) relinquished,Private: Company,Public: Government,Iraq,Iraq,stone,Stele
9 Cyprian figurines and pendants,Developed,United Kingdom,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Company,Private: Individual,Cyprus,Cyprus,stone,Jewelry
"98 Cyprian Antiquities, Icons; Wood Chests",Developed,Austria,Developed,Action by Complainant's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Cyprus,,wood,Sculpture
20 Cyprian Antiquities,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Cyprus,Cyprus,,
Cyprian Icon of St. John the Baptist,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Institution,Cyprus,Cyprus,wood,Religious Icon
"Four Icons from Antiphonitis Church, Cyprus",Developed,Netherlands,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Institution,Cyprus,Cyprus,wood,Religious Icon
Eight-armed Stele of Lakshmi-Narayana,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Nepal,Nepal,stone,Stele
Asante Gold Artifacts in Wallace Collection (London),Developed,United Kingdom,Developing,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Ghana,Ghana,gold,Weapon
Rio Azul Funerary Mask,Developed,Spain,In Transition,,Unresolved,Public: Government,Public: Government,Guatemala,Guatemala,stone,Mask
Nine Greek and Italian Antiquities Owned by Shelby White,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,,Italy,terracotta,Vase
18 Turkish Antiquities in the Metropolitan Museum's Norbert Schimmel Collection,Developed,United States,,,Unresolved,Private: Institution,Public: Government,Turkey,,silver,Food/Drink Container
Hittite Empire Sphinx,Developed,Germany,Developing,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Turkey,Turkey,stone,Sphinx
"2,607 Ancient Greek Coins",Developed,Germany,Developed,Action by Complainant's Govt.,Object(s) relinquished,Public: Government,Public: Government,Greece,Greece,metal,Coin
2 Olmec Wooden Head Carvings Returned to Mexico from Collection of Leonardo Patterson,Developed,Germany,Developing,Action by Complainant's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Mexico,Mexico,wood,Statue
Seven Carved Classic Maya Tablets,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Guatemala,Guatemala,stone,Plaque or Tablet
300 Cyprian Antiquities,Developed,Germany,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Cyprus,Cyprus,terracotta,Fresco
10 Classical Antiquities from Shelby White collection,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,paint,Vessel
Cambodian Hanuman Statue,Developed,United States,Developing,Sua sponte donation,Object(s) relinquished,Public: Institution,Private: Institution,Cambodia,Cambodia,stone,Statue
Four Cambodian Antiquities,Developed,United States,Developing,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Cambodia,Cambodia,stone,Statue
67 Peruvian Art Objects Sold at Sotheby's (Paris) from the Barbier-Mueller collection,Developed,France,Developing,Action by Complainant's Govt.,Some objects relinquished,Private: Institution,Public: Government,Peru,Peru,ceramic,Vessel
74 Impressionist and Post-Impressionist Paintings Displayed at the State Hermitage Museum looted from Nazi Germany by the Soviet Army,Developed,Russia,Developed,Action by Respondent's Govt.,Unresolved,Public: Government,Public: Government,Germany,,paint,Painting
Easter Island Statue (Moai),Developed,United Kingdom,Developing,,Unresolved,Public: Institution,Public: Government,Chile,Chile,stone,Statue
Indigenous Australian Bark Art- Shield,Developed,United Kingdom,Developed,,Unresolved,Public: Institution,Public: Government,Australia,Australia,bark,Shield
Indonesian gold-inlaid dagger,Developed,Netherlands,,Action by Respondent's Govt.,Object(s) relinquished,Public: Institution,Public: Government,Indonesia,Netherlands,gemstones,Weapon
Jewelry from Moche Civilization of Sipán,Developed,United States,Developing,Litigation,Some objects relinquished,Private: Individual,Public: Government,Peru,Peru,turquoise,Necklace
Pre-Columbian Artifacts,Developed,United States,Developing,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Guatemala,Guatemala,terracotta,Vessel
24 Pieces of Turkish Jewelry,Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,Turkey,Turkey,metal,Jewelry
Montunui Panels,Developed,Switzerland,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,New Zealand,NewZealand,wood,Relief
33 Maya Pre-Colombian Artifacts,Developed,Germany,Developing,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Institution,Guatemala,Guatemala,terracotta,Food/Drink Container
Carved Ivory Tusk and 2 Nok Figurines (2012 dispute),Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Nigeria,,terracotta,Figurine
Teikweidi Totem Pole,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,United States Tribal Nations,United States Tribal Nations,wood,Totem Pole
65 Iraqi Antiquities,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Iraq,Iraq,stone,Weapon
Carved Cosmetic Spoon,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Palestine,Palestine,ivory,Cutlery
16th Century Mexican Manuscripts &amp; Small Group of Mexican Archaeological Artifacts,Developed,United States,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Public: Government,Public: Institution,Mexico,Mexico,terracotta,Manuscript
12 Wampum Belts,Developed,United States,,Litigation,Object(s) relinquished,Public: Government,Public: Government,United States Tribal Nations,United States Tribal Nations,shell,Belt
18 Iranian Vessels,Developed,United Kingdom,Developing,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Iran,Iran,stone,Weight
Bronze Statue of a Victorious Youth,Developed,United States,Developed,Litigation,Object(s) not relinquished,Private: Institution,Public: Government,Italy,Italy,metal,Sculpture
"Group of Cambodian (Khmer) Artifacts, including deities and Buddha images",Developing,Thailand,Developing,Coordinated action by Complainant &amp; Respondent Governments,Some objects relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,Statue
7 Cambodian Artifacts,Developing,Thailand,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,Statue
"4,858 Ecuadorian Ancient Artifacts",Developed,Italy,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Public: Government,Public: Government,Ecuador,Ecuador,terracotta,Vessel
"Bronze Animal Heads from Yuanmingyuan Park, China",Developed,France,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Institution,China,China,metal,Sculpture
Jean-Antoine Houdon Bust of Diana,Developed,Austria,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Poland,Poland,stone,Sculpture
Pompeii Wall Panel Fresco,Developed,United States,Developed,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,plaster,Panel
"1,600 Italian Artifacts",Developed,United States,Developed,Coordinated action by Complainant &amp; Respondent Governments,Some objects relinquished,Public: Government,Public: Government,Italy,Italy,stone,Vessel
13 Roman and Greek antiquities,Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Statue
3 Ancient Mexican Artifacts (clay pot and two ceramic human faces),Developed,Italy,Developing,,Object(s) relinquished,Public: Government,Public: Government,Mexico,Mexico,terracotta,Vessel
Illuminated Byzantine-era manuscripts,Developed,United States,Developed,,Unresolved,Private: Institution,Public: Government,Greece,Greece,paper,Manuscript
Paintings by Kazimir Malewicz,Developed,Netherlands,,Private Negotiation,Some objects relinquished,Private: Institution,Private: Individual,Russia,Russia,paint,Painting
Corinthian bronze horse,Developed,United States,Developed,Litigation,Object(s) not relinquished,Private: Company,Public: Government,Greece,Greece,metal,Sculpture
8 Ancient Greco-Roman Objects,Developed,United States,Developed,Inquiry/Demand,Some objects relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Vessel
Ancient Roman Marble Funerary Relief of Aphthonetus,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Sculpture
Two Archaic Acrolith Heads of Demeter and Kore,Developed,United States,Developed,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,wood,Statue
9th C. New Testament,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Institution,Private: Institution,Greece,Greece,paper,Book
"13 Antiquities (Greek, Corinthian, Apulian, Etruscan, etc.) and a 14th Century Processional Cross (Siena)",Developed,United States,Developed,Private Negotiation,Object(s) relinquished,Private: Institution,Public: Institution,Italy,Italy,wood,Vessel
"25,000 Pre-Columbian Antiquities",Developed,Italy,Developing,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Ecuador,Ecuador,terracotta,Vessel
800 Pre-Columbian Artifacts,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Ecuador,Ecuador,terracotta,Vessel
8 Etruscan and Roman Artifacts,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,paint,Vase
554 Prehistoric Thai Antiquities,Developed,United States,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Government,Thailand,Thailand,stone,Tool
12 Prehistoric Thai Artifacts,Developed,United States,Developing,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Thailand,Thailand,paint,Vessel
337 Prehistoric Thai Antiquities,Developed,United States,Developing,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Thailand,Thailand,stone,Vase
68 Prehistoric Thai Antiquities,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Thailand,Thailand,stone,Vessel
23 Turkish and Italian Artifacts,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Turkey,Turkey,metal,Vessel
Egyptian Wall Relief,Developed,United Kingdom,Developing,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,stone,Relief
Greek Icon Depicting Saint Spyridon and Saint Nicholas,In Transition,Russia,Developed,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Greece,Greece,wood,Religious Icon
77 Yemeni Artifacts,Developed,United States,Developing,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Yemen,Yemen,paper,Vessel
Rosetta Stone,Developed,United Kingdom,Developing,,Unresolved,Public: Institution,Public: Government,Egypt,Egypt,stone,Stele
"Etruscan Ceremonial Vessel, Villanovan and Etruscan Blackware and Impasto Ware",Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Vessel
Gilgamesh Dream Tablet,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Iraq,Iraq,ceramic,Plaque or Tablet
Statue of Hercules,Developed,Switzerland,Developed,,,Private: Institution,Public: Government,Italy,,metal,Sculpture
"Renaissance-era painting by Lelio Orsi, ""Leda e il Cigno""",Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Italy,,paint,Painting
29 Benin Bronzes and Other Artifacts,Developed,United States,Developing,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Nigeria,Nigeria,wood,Sculpture
Beard Remnants of the Great Sphinx of Giza,Developed,United Kingdom,Developing,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Egypt,Egypt,stone,Sphinx
21 Italian Antiques,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Italy,Italy,terracotta,Statue
2 Nepalese Wood Sculptures (Apsara and Torana),Developed,United States,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Institution,Nepal,Nepal,wood,Religious Icon
Three Italian Objects,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,stone,Stele
Statue of Egyptian Goddess Bastet,Developed,Canada,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,metal,Statue
Egyptian Clay Funerary Figurine,Developed,Canada,Developing,Action by Respondent's Govt.,Object(s) relinquished,Public: Government,Public: Government,Egypt,Egypt,paint,Sculpture
Egyptian Marble Sculpture of a Woman's Head,Developed,Canada,Developing,Action by Respondent's Govt.,Object(s) relinquished,Public: Government,Public: Government,Egypt,Egypt,stone,Sculpture
Two Egyptian Painted Reliefs and Two Funerary Masks,Developed,Germany,Developing,Action by Respondent's Govt.,Object(s) relinquished,Public: Government,Public: Government,Egypt,Egypt,stone,Relief
34 Pre-Columbian Artifacts,Developed,Germany,Developing,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Mexico,Mexico,stone,Vessel
3 Cambodian antiquities; 1 Indian antiquity,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,United States,Cambodia,stone,Statue
Kakungu Mask,Developed,Belgium,Developing,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Democratic Republic of the Congo,Democratic Republic of the Congo,wood,Mask
Three Lebanese Marble Statues,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Public: Government,Public: Government,Lebanon,Lebanon,stone,Statue
118 Jiroft Artifacts,Developed,United Kingdom,Developing,Action by Respondent's Govt.,Object(s) relinquished,Public: Government,Public: Government,Iran,Iran,terracotta,Vessel
6 Egyptian Antiques,Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Egypt,Egypt,wood,Textile
Nepalese Stone Statue and Wooden Strut,Developed,United States,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Public: Institution,Public: Government,Nepal,Nepal,wood,Strut
26 Artifacts from Benin,Developed,France,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Benin,Benin,wood,Throne
"5,500 Iraqi Antiquities",Developed,United States,Developing,Litigation,Object(s) relinquished,Private: Institution,Public: Government,Iraq,Iraq,ceramic,Seal
Roman Marble Bust of Drusus the Elder,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Germany,Italy,stone,Sculpture
Sri Lankan Artifacts in the Netherlands,Developed,Netherlands,Developing,Action by Respondent's Govt.,Unresolved,Public: Institution,Public: Government,Sri Lanka,,gemstones,Weapon
590 Egyptian Artifacts - Including Polychrome Relief,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,paint,Stele
Mosaic from Caligula ship,Developed,United States,Developed,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,stone,Mosaic
"Etruscan ""Pithos with Ulysses""",Developed,United States,Developed,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,ceramic,Storage container
96 Greco-Roman Artifacts,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,terracotta,Vessel
Mosaic from a Caligula Ceremonial Ship,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,stone,Mosaic
13th Century Nepalese Strut with Goddess,Developed,Australia,Developing,,Unresolved,Public: Government,Public: Government,Nepal,Nepal,wood,Strut
Nepalese Sculpture of Shiva and a Carved Strut,Developed,United States,Developing,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Nepal,Nepal,wood,Strut
Nepalese Statue of Laxmi-Narayan,Developed,United States,Developing,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Nepal,Nepal,stone,Stele
Two Wooden Nepalese Carvings,Developed,United States,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Government,Nepal,Nepal,wood,Window
Three 13th C. Italian Choir Book Pages,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,paper,Music Score
Two Italian Ceramic Vessels,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Company,Public: Government,Italy,Italy,ceramic,Vessel
"30 Cambodian antiquties &amp; sculpture ""Skanda on a Peacock""",Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,Statue
Daunian Funerary Stele and Nearly 800 Italian Ceramics,Developed,Belgium,Developed,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Individual,Public: Government,Italy,Italy,stone,Vessel
Torso of Rama,Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,Statue
"Two Khmer ""Kneeling Attendants"" Statues",Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,Statue
343 Panamanian Ceramics,Developed,Netherlands,Developing,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Panama,Panama,ceramic,Vessel
223 Pre-Hispanic Mexican Objects,Developed,Netherlands,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Public: Government,Public: Institution,Mexico,Mexico,ceramic,Sculpture
Eikosiphoinissa Manuscript 220 (Ancient Greek Gospel Manuscript),Developed,United States,Developing,Coordinated action by Complainant &amp; Respondent Governments,Object(s) relinquished,Private: Institution,Public: Institution,Greece,Greece,paper,Manuscript
Two 16th C. Brass Plaques,Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,Nigeria,Nigeria,metal,Plaque or Tablet
Ponca Tribe Chief Standing Bear’s Pipe Tomahawk,Developed,United States,Developing,Inquiry/Demand,Object(s) relinquished,Private: Institution,Private: Individual,United States Tribal Nations,United States Tribal Nations,wood,Weapon
Two Benin Bronzes,Developed,Germany,Developing,Arbitration,Object(s) relinquished,Public: Government,Public: Government,Nigeria,Nigeria,metal,Sculpture
Nigerian Brass Head,Developed,United States,Developing,Arbitration,Object(s) relinquished,Private: Individual,Public: Government,Nigeria,Nigeria,metal,Sculpture
Roman Terracotta Goddess Head,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,terracotta,Sculpture
Entemena of Lagash Headless Statue,,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,stone,Statue
Greek Pottery,,,Developed,,Object(s) relinquished,,Public: Government,United States,Italy,ceramic,
32 Classical Pharonic and Roman Objects,,,Developed,,Object(s) relinquished,,Public: Government,Switzerland,Egypt,stone,
370 Egyptian Ma'adi Vessels,,,In Transition,Inquiry/Demand,Some objects relinquished,,Public: Government,Egypt,Egypt,,
Stone Head of Queen Mutnodjmet,,,In Transition,Inquiry/Demand,Object(s) not relinquished,,Public: Government,Egypt,,stone,Statue
Dyad of Horemheb and his Wife,,,In Transition,Inquiry/Demand,Object(s) not relinquished,,Public: Government,Egypt,Egypt,stone,Statue
Egyptian Gold Greco-Roman Bracelets,,,In Transition,Inquiry/Demand,Object(s) not relinquished,,Public: Government,Egypt,Egypt,metal,Jewelry
Cornelian and Lapis Lazuli Gold Bead Neckace,,,In Transition,Inquiry/Demand,Object(s) relinquished,,Public: Government,Iraq,Iraq,,
Atru Temple Hindu Deity Sculptures,,,In Transition,Inquiry/Demand,Object(s) relinquished,,Public: Government,United Kingdom,India,stone,Statue
Dat-Hamin Stele,,,Developed,Sua sponte donation,Object(s) relinquished,,Private: Company,United States,Yemen,stone,Statue
Tur-Abdin Syrian Orthodox Bible,,,In Transition,,Object(s) relinquished,,Public: Government,Turkey,Turkey,paper,Manuscript
"St. Mark Mosaic from Church of Kanakaria (Famagusta, Cyprus)",,,,,,,,,,glass,Mosaic
